,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
4,s1,4,0.024170830492133907,0.7739156339576475,-0.981162827004942,0.7776467554021285,0.9960873127828659,0.0,0.0
7,s4,4,0.024245033470068806,-2.129812763559793,0.8539528135927302,2.129812763559793,0.8539528135927302,0.0,0.0
1,sex,9,0.023812052257989526,0.0,0.0,0.0,0.0,0.0,0.0
5,s2,10,0.024198844672036663,1.3518865276111516,-1.6730820665636839,1.8240268569716631,2.1397670106836024,0.0,0.0
0,age,11,0.024069105808202686,-0.049145263002388785,0.5711805852379671,2.610243740811486,2.471555500486834,0.0,0.0
3,bp,15,0.02210855265173046,-3.641328058757964,3.1523830157294324,3.653852390395377,3.200308211303429,0.7736524012936172,0.09803339255618937
9,s6,15,0.023708072918416114,-1.515158621480537,2.5755694689394786,3.876115884328274,5.903665246934413,0.0,1.32052773470474
6,s3,16,0.023024116904949515,2.5733359187780187,-2.776690338661293,3.8889385723083056,3.888405210717413,0.08870366011214514,0.08870366011214514
8,s5,27,0.024589800677010085,-12.189000669661073,10.450621077982364,12.212624440702719,10.562517303415317,10.185106360370952,7.368613381109782
2,bmi,29,0.023214277135647287,-8.473259922088967,12.748175240031758,9.616593659897859,13.921376165711811,1.3461282705287942,5.301566630791456
