error,time,humidity,motor_speed_per_min,break_pad_slide,spm,motor_voltage,slide_voltage,P0004,,P0006,,P0007,,P000A,,P000C,,P000F,,P0016,,P0045,,P0048,,P0049,,P004A,,P004F,
0,5/12/2016 9:39,56,29,20,28,11,3,16434,0,0,0,0,2,0,0,0,0,0,0,0,22.49,403,35,22.55,55,327,74,24.25,48,461,78
0,5/12/2016 9:39,56,29,21,28,12,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.49,403,35,22.56,55,325,83,24.25,48,461,78
0,5/12/2016 9:39,56,29,19,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.49,403,35,22.56,55,325,83,24.25,48,461,78
0,5/12/2016 9:40,56,29,19,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.5,405,35,22.56,55,325,67,24.25,48,461,78
0,5/12/2016 9:40,56,29,19,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.5,405,35,22.56,55,327,83,24.25,48,461,78
0,5/12/2016 9:40,56,0,0,28,15,2,16498,0,0,0,0,2,0,0,0,0,0,0,0,22.5,403,36,22.57,55,325,83,24.25,48,461,78
0,5/12/2016 9:40,56,29,21,28,13,2,20530,0,0,0,0,3,0,0,0,0,0,0,0,22.51,403,36,22.57,55,327,73,24.25,48,461,78
0,5/12/2016 9:40,56,29,19,28,11,2,20530,0,0,0,0,3,0,0,0,0,0,0,0,22.53,401,37,22.57,55,328,76,24.25,48,461,78
0,5/12/2016 9:41,56,29,19,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.53,401,36,22.58,55,327,86,24.25,48,461,78
0,5/12/2016 9:41,56,0,0,28,13,3,16434,0,0,0,0,2,0,0,0,0,0,0,0,22.53,401,36,22.58,55,328,87,24.25,48,461,78
0,5/12/2016 9:41,56,0,0,28,15,3,114,0,0,0,0,2,0,0,0,0,0,0,0,22.54,401,36,22.58,55,328,79,24.25,48,461,78
0,5/12/2016 9:41,56,29,19,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.54,401,36,22.59,55,330,74,24.25,48,461,78
0,5/12/2016 9:41,56,29,21,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.54,403,37,22.59,55,332,87,24.25,48,461,78
0,5/12/2016 9:41,56,29,19,28,12,2,20530,0,0,0,0,3,0,0,0,0,0,0,0,22.55,403,37,22.6,55,332,77,24.25,48,461,78
0,5/12/2016 9:42,56,29,19,28,11,2,20530,0,0,0,0,3,0,0,0,0,0,0,0,22.55,403,37,22.61,55,330,77,24.25,48,461,78
0,5/12/2016 9:42,56,29,20,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.55,403,37,22.61,55,330,88,24.25,48,461,78
0,5/12/2016 9:42,56,29,20,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.56,401,36,22.62,55,330,84,24.25,48,461,78
0,5/12/2016 9:42,56,0,0,28,14,3,16498,0,0,0,0,2,0,0,0,0,0,0,0,22.56,401,36,22.62,55,330,69,24.25,48,461,78
0,5/12/2016 9:42,56,30,18,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.56,402,36,22.62,55,330,75,24.25,48,461,78
0,5/12/2016 9:43,56,30,18,28,11,3,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.57,400,36,22.63,55,330,87,24.25,48,461,78
0,5/12/2016 9:43,56,30,18,28,11,3,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.57,400,36,22.63,55,332,87,24.25,48,461,78
0,5/12/2016 9:43,56,29,19,28,11,2,20530,0,0,0,0,3,0,0,0,0,0,0,0,22.58,400,36,22.63,55,330,68,24.25,48,461,78
0,5/12/2016 9:43,56,29,20,28,11,2,20530,0,0,0,0,3,0,0,0,0,0,0,0,22.58,400,36,22.63,55,330,78,24.25,48,461,78
0,5/12/2016 9:43,56,29,20,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.58,400,37,22.63,55,328,93,24.25,48,461,78
0,5/12/2016 9:43,56,29,20,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.58,400,37,22.63,55,328,89,24.25,48,461,78
0,5/12/2016 9:44,56,29,20,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.59,395,37,22.64,55,330,88,24.25,48,461,78
0,5/12/2016 9:44,56,29,20,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.59,397,37,22.64,55,330,94,24.25,48,461,78
0,5/12/2016 9:44,56,29,20,28,11,2,16434,0,0,0,0,3,0,0,0,0,0,0,0,22.59,397,36,22.67,55,330,87,24.25,48,461,78
0,5/12/2016 9:44,56,29,20,29,11,2,20530,0,0,0,0,3,0,0,0,0,0,0,0,22.6,395,36,22.67,55,332,88,24.25,48,461,78
0,5/12/2016 9:44,56,29,20,28,11,2,20530,0,0,0,0,3,0,0,0,0,0,0,0,22.6,397,36,22.67,55,330,91,24.25,48,461,78
