error,time,humidity,motor_speed_per_min,break_pad_slide,spm,motor_voltage,slide_voltage
0,5/12/2016 9:39,56,29,20,28,11,3
0,5/12/2016 9:39,56,29,21,28,12,2
0,5/12/2016 9:39,56,29,19,28,11,2
0,5/12/2016 9:40,56,29,19,28,11,2
0,5/12/2016 9:40,56,29,19,28,11,2
0,5/12/2016 9:40,56,0,0,28,15,2
0,5/12/2016 9:40,56,29,21,28,13,2
0,5/12/2016 9:40,56,29,19,28,11,2
0,5/12/2016 9:41,56,29,19,28,11,2
0,5/12/2016 9:41,56,0,0,28,13,3
0,5/12/2016 9:41,56,0,0,28,15,3
0,5/12/2016 9:41,56,29,19,28,11,2
0,5/12/2016 9:41,56,29,21,28,11,2
0,5/12/2016 9:41,56,29,19,28,12,2
0,5/12/2016 9:42,56,29,19,28,11,2
0,5/12/2016 9:42,56,29,20,28,11,2
0,5/12/2016 9:42,56,29,20,28,11,2
0,5/12/2016 9:42,56,0,0,28,14,3
0,5/12/2016 9:42,56,30,18,28,11,2
0,5/12/2016 9:43,56,30,18,28,11,3
0,5/12/2016 9:43,56,30,18,28,11,3
0,5/12/2016 9:43,56,29,19,28,11,2
0,5/12/2016 9:43,56,29,20,28,11,2
0,5/12/2016 9:43,56,29,20,28,11,2
0,5/12/2016 9:43,56,29,20,28,11,2
0,5/12/2016 9:44,56,29,20,28,11,2
0,5/12/2016 9:44,56,29,20,28,11,2
0,5/12/2016 9:44,56,29,20,28,11,2
0,5/12/2016 9:44,56,29,20,29,11,2
0,5/12/2016 9:44,56,29,20,28,11,2
0,5/12/2016 9:44,56,29,20,28,11,2
0,5/12/2016 9:45,56,29,20,28,11,2
0,5/12/2016 9:45,56,29,20,28,11,2
0,5/12/2016 9:45,56,29,20,28,11,2
0,5/12/2016 9:45,56,29,20,28,11,2
0,5/12/2016 9:45,56,29,20,28,11,2
0,5/12/2016 9:46,56,29,20,28,11,2
0,5/12/2016 9:46,56,29,20,28,11,2
0,5/12/2016 9:46,56,29,20,28,11,2
0,5/12/2016 9:46,56,29,20,28,11,2
0,5/12/2016 9:46,56,29,20,28,11,2
0,5/12/2016 9:46,56,29,20,28,11,2
0,5/12/2016 9:47,56,29,20,28,11,2
0,5/12/2016 9:47,56,29,20,28,11,2
0,5/12/2016 9:47,56,29,20,28,11,2
0,5/12/2016 9:47,56,29,20,28,11,2
0,5/12/2016 9:48,56,29,20,28,11,2
0,5/12/2016 9:48,56,0,0,28,14,2
0,5/12/2016 9:48,56,29,22,28,11,1
0,5/12/2016 9:48,56,29,21,28,11,1
0,5/12/2016 9:48,56,29,20,28,11,2
0,5/12/2016 9:48,56,29,21,27,12,1
0,5/12/2016 9:49,56,29,21,28,11,2
0,5/12/2016 9:49,56,29,20,28,11,2
0,5/12/2016 9:49,56,29,19,28,11,1
0,5/12/2016 9:49,56,29,20,28,12,2
0,5/12/2016 9:49,56,29,20,28,11,2
0,5/12/2016 9:50,56,29,21,28,11,1
0,5/12/2016 9:50,56,0,0,27,15,2
0,5/12/2016 9:50,56,29,22,28,12,1
0,5/12/2016 9:50,56,29,20,28,11,2
0,5/12/2016 9:50,56,29,20,28,11,2
0,5/12/2016 9:50,56,0,0,28,13,2
0,5/12/2016 9:51,56,29,20,28,12,2
0,5/12/2016 9:51,56,29,20,28,11,2
0,5/12/2016 9:51,56,29,20,28,11,2
0,5/12/2016 9:51,56,29,20,28,12,1
0,5/12/2016 9:52,56,29,20,28,11,2
0,5/12/2016 9:52,56,29,20,28,11,2
0,5/12/2016 9:52,56,29,19,28,11,2
0,5/12/2016 9:52,56,29,0,28,15,2
0,5/12/2016 9:52,56,29,19,28,11,2
0,5/12/2016 9:52,56,29,19,28,11,2
0,5/12/2016 9:53,56,29,20,28,11,2
0,5/12/2016 9:53,56,0,0,28,14,3
0,5/12/2016 9:53,56,29,21,28,11,2
0,5/12/2016 9:53,56,29,20,28,11,2
0,5/12/2016 9:53,56,29,19,28,11,2
0,5/12/2016 9:53,56,29,20,28,12,2
0,5/12/2016 9:54,56,29,21,28,12,2
0,5/12/2016 9:54,56,29,20,28,11,2
0,5/12/2016 9:54,56,29,20,28,11,2
0,5/12/2016 9:54,56,29,19,28,11,2
0,5/12/2016 9:54,56,29,20,28,12,2
0,5/12/2016 9:55,56,29,20,28,11,2
0,5/12/2016 9:55,56,29,20,28,11,2
0,5/12/2016 9:55,56,29,19,28,11,1
0,5/12/2016 9:55,56,29,20,28,14,3
0,5/12/2016 9:55,56,29,19,28,11,2
0,5/12/2016 9:55,56,29,21,28,11,2
0,5/12/2016 9:56,56,29,20,28,11,2
0,5/12/2016 9:56,56,0,0,28,13,2
0,5/12/2016 9:56,56,29,22,28,11,2
0,5/12/2016 9:56,56,29,19,28,11,2
0,5/12/2016 9:56,56,29,19,28,11,1
0,5/12/2016 9:56,56,29,19,28,11,2
0,5/12/2016 9:57,56,0,0,28,12,1
0,5/12/2016 9:57,56,29,19,29,11,1
0,5/12/2016 9:57,56,29,20,29,11,2
0,5/12/2016 9:57,56,29,20,28,11,1
0,5/12/2016 9:57,56,29,19,28,11,2
0,5/12/2016 9:58,56,29,22,28,11,2
0,5/12/2016 9:58,56,29,18,28,11,2
0,5/12/2016 9:58,56,29,19,29,11,2
0,5/12/2016 9:58,56,29,20,28,15,2
0,5/12/2016 9:58,56,29,20,28,12,2
0,5/12/2016 9:58,56,29,22,28,11,2
0,5/12/2016 9:59,56,29,19,28,11,1
0,5/12/2016 9:59,56,29,19,28,11,2
0,5/12/2016 9:59,56,29,0,28,15,3
0,5/12/2016 9:59,56,29,19,28,11,2
0,5/12/2016 9:59,56,29,19,28,11,2
0,5/12/2016 9:59,56,29,20,28,11,2
0,5/12/2016 10:00,56,29,20,28,11,2
0,5/12/2016 10:00,56,29,19,28,11,2
0,5/12/2016 10:00,56,29,20,28,11,2
0,5/12/2016 10:00,56,29,20,28,11,2
0,5/12/2016 10:00,56,29,21,28,12,2
0,5/12/2016 10:01,56,29,20,28,11,2
0,5/12/2016 10:01,56,29,20,28,11,2
0,5/12/2016 10:01,56,29,20,28,11,2
0,5/12/2016 10:01,56,29,0,28,14,2
0,5/12/2016 10:01,56,29,20,28,11,2
0,5/12/2016 10:01,56,29,20,28,11,2
0,5/12/2016 10:02,56,29,20,29,11,2
0,5/12/2016 10:02,56,0,0,28,13,3
0,5/12/2016 10:02,56,29,18,28,12,2
0,5/12/2016 10:02,55,29,20,28,11,2
0,5/12/2016 10:02,55,29,20,28,11,2
0,5/12/2016 10:02,55,29,19,28,11,2
0,5/12/2016 10:03,55,29,20,28,12,2
0,5/12/2016 10:03,55,29,19,28,11,2
0,5/12/2016 10:03,55,29,20,28,11,2
0,5/12/2016 10:03,55,29,19,28,11,2
0,5/12/2016 10:03,55,29,19,28,13,2
0,5/12/2016 10:04,55,29,21,28,11,2
0,5/12/2016 10:04,55,29,20,28,11,2
0,5/12/2016 10:04,55,29,20,28,11,2
0,5/12/2016 10:04,55,0,0,28,15,2
0,5/12/2016 10:04,55,29,20,28,11,2
0,5/12/2016 10:04,55,29,21,28,11,2
0,5/12/2016 10:05,55,29,22,28,11,2
0,5/12/2016 10:05,55,0,0,28,12,3
0,5/12/2016 10:05,55,29,19,28,12,2
0,5/12/2016 10:05,55,29,20,28,11,2
0,5/12/2016 10:05,55,29,20,28,11,2
0,5/12/2016 10:05,55,29,20,28,11,2
0,5/12/2016 10:06,55,27,17,27,14,0
0,5/12/2016 10:06,55,27,17,27,11,0
0,5/12/2016 10:06,55,27,16,27,11,0
0,5/12/2016 10:06,55,29,19,28,11,2
0,5/12/2016 10:06,55,27,18,27,12,0
0,5/12/2016 10:07,55,27,18,27,11,0
0,5/12/2016 10:07,55,29,18,28,11,2
1,5/12/2016 10:07,55,342,29,0,28,11
0,5/12/2016 10:07,55,27,19,28,12,0
0,5/12/2016 10:07,55,0,0,28,14,3
0,5/12/2016 10:07,55,29,22,28,13,3
0,5/12/2016 10:08,55,29,23,28,11,2
0,5/12/2016 10:08,55,29,21,29,11,2
0,5/12/2016 10:08,55,0,0,28,13,3
0,5/12/2016 10:08,55,29,0,28,13,3
0,5/12/2016 10:08,55,29,21,28,11,2
0,5/12/2016 10:08,55,29,20,28,11,2
0,5/12/2016 10:09,55,29,20,28,11,2
0,5/12/2016 10:09,55,0,0,29,15,3
0,5/12/2016 10:09,55,29,19,28,11,2
0,5/12/2016 10:09,55,29,20,28,11,2
0,5/12/2016 10:09,55,29,19,28,11,2
0,5/12/2016 10:10,55,29,20,28,11,2
0,5/12/2016 10:10,55,29,20,28,11,2
0,5/12/2016 10:10,55,29,21,28,11,2
0,5/12/2016 10:10,55,29,19,28,11,2
0,5/12/2016 10:10,55,0,0,28,13,3
0,5/12/2016 10:10,55,29,19,28,11,2
0,5/12/2016 10:11,55,29,21,28,11,1
0,5/12/2016 10:11,55,29,20,28,11,2
0,5/12/2016 10:11,55,29,21,28,11,2
0,5/12/2016 10:11,55,29,21,28,12,2
0,5/12/2016 10:11,55,29,20,28,11,2
0,5/12/2016 10:11,55,29,19,28,11,1
0,5/12/2016 10:12,55,0,0,28,15,2
0,5/12/2016 10:12,55,29,20,28,13,2
0,5/12/2016 10:12,55,29,20,29,11,2
0,5/12/2016 10:12,55,29,20,28,11,2
0,5/12/2016 10:12,55,29,19,28,11,2
0,5/12/2016 10:13,55,0,0,28,15,2
0,5/12/2016 10:13,55,29,20,28,11,2
0,5/12/2016 10:13,55,29,18,29,11,2
0,5/12/2016 10:13,55,29,20,28,11,2
0,5/12/2016 10:13,55,29,20,28,11,2
